Kepler-89 c,15.60,4.41,0.101,10.42
Kepler-89 d,104.88,11.21,0.168,22.34
Kepler-89 e,34.99,6.70,0.305,54.32
Kepler-8 b,187.52,15.92,0.048,3.52
Kepler-91 b,209.77,15.69,0.073,6.25
Kepler-91 b Trojan,7.95,2.91,0.073,6.25
Kepler-93 b,4.00,1.48,0.053,4.73
Kepler-968 c,3.50,1.69,0.052,5.71
Kepler-968 b,4.67,2.00,0.039,3.69
Kepler-968 d,11.02,2.58,0.063,7.68
Kepler-9 b,79.46,9.42,0.143,19.22
Kepler-9 c,54.03,9.19,0.229,39.03
Kepler-9 d,6.99,1.65,0.027,1.59
KIC 9632895 b,6.20,6.30,0.788,240.50
KOI-1257 b,460.85,10.54,0.382,86.65
KOI-1299 b,1547.82,12.55,0.303,52.50
KOI-12 b,349.61,13.79,0.154,17.86
KOI-135 b,1026.59,13.67,0.044,3.02
KOI-142 b,1.76,4.22,0.098,10.95
KOI-1474 b,794.57,10.81,0.370,69.75
KOI-1599 b,9.00,1.91,0.112,13.61
KOI-1599 c,4.60,1.91,0.147,20.44
KOI-183 b,189.11,13.36,0.036,2.68
KOI-1843.03,0.44,0.61,0.005,0.18
KOI-188 b,79.46,10.96,0.046,3.80
Kepler-1004 b,57.21,6.28,0.067,5.29
KOI-192 b,92.17,13.79,0.091,10.29
KOI-195 b,108.06,12.22,0.041,3.22
KOI-206 b,896.28,16.25,0.068,5.33
KOI-2939 b,483.10,11.87,2.720,1107.59
KOI-314 b,1.97,1.22,0.091,13.78
KOI-314 c,0.64,1.24,0.128,23.09
Kepler-138 b,0.07,0.53,0.075,10.31
KOI-3503 b,9.20,1.19,0.146,21.18
KOI-3503 c,10.36,1.21,0.191,31.83
KOI-372 b,1032.94,8.37,0.499,125.63
KOI-423 b,6070.52,12.44,0.162,21.09
KOI-428 b,699.22,13.11,0.080,6.87
KOI-55 b,0.44,0.76,0.006,0.24
KOI-55 c,0.67,0.87,0.008,0.34
KOI-680 b,266.98,22.31,0.095,8.60
KOI-806.03,11.30,3.98,0.180,29.33
KOI-806.02,639.87,12.56,0.300,60.33
KOI-806.01,23.10,8.99,0.500,143.21
KOI-830 b,403.64,12.11,0.043,3.53
KOI-984 b,17.29,4.30,0.050,4.29
KPS-1 b,346.43,11.55,0.027,1.71
L 168-9 b,4.60,1.39,0.021,1.40
L 98-59 b,0.41,0.85,0.022,2.25
L 98-59 c,2.22,1.38,0.030,3.69
L 98-59 d,1.94,1.52,0.049,7.45
LHS 1140 b,6.38,1.64,0.096,24.74
LHS 1140 c,1.76,1.17,0.027,3.78
LHS 1478 b,2.33,1.24,0.018,1.95
LHS 1678 b,0.06,0.70,0.013,0.86
LHS 1678 c,0.39,0.98,0.033,3.69
LHS 1815 b,8.70,1.09,0.040,3.81
LP 714-47 b,30.80,4.70,0.042,4.05
LTT 1445 A b,2.87,1.31,0.038,5.36
LTT 1445 A c,1.54,1.15,0.040,3.12
LTT 3780 b,2.62,1.33,0.012,0.77
LTT 3780 c,8.60,2.30,0.077,12.25
LTT 9779 b,29.32,4.72,0.017,0.79
Lupus-TR 3b,257.44,9.98,0.046,3.91
MASCARA-1 b,1175.97,16.81,0.043,2.15
MASCARA-4 b,985.27,17.15,0.047,2.82
MASCARA-5 b,997.98,16.90,0.047,2.65
NGTS-10 b,687.15,13.51,0.014,0.77
NGTS-11 b,117.60,9.22,0.200,35.46
NGTS-12 b,66.11,11.75,0.076,7.53
NGTS-13 b,1538.29,12.80,0.055,4.12
NGTS-14 A b,29.24,4.93,0.040,3.54
NGTS-15 b,238.69,12.33,0.044,3.28
NGTS-16 b,211.99,14.57,0.052,4.85
NGTS-17 b,242.82,13.90,0.039,3.24
NGTS-18 b,129.99,13.56,0.045,3.05
NGTS-1 b,258.08,14.91,0.033,2.65
NGTS-2 b,235.19,17.88,0.063,4.51
NGTS-4 b,20.59,3.18,0.019,1.34
NGTS-5 b,72.78,12.73,0.038,3.36
NGTS-6 b,425.57,14.86,0.017,0.88
NGTS-8 b,295.58,12.22,0.035,2.50
NGTS-9 b,921.70,11.99,0.058,4.44
OGLE2-TR-L9 b,1379.38,18.09,0.031,2.49
OGLE-TR-10 b,216.12,19.28,0.045,3.10
OGLE-TR-111 b,171.63,12.07,0.047,4.01
OGLE-TR-113 b,400.46,11.78,0.023,1.43
OGLE-TR-132 b,371.86,13.75,0.030,1.69
OGLE-TR-182 b,336.90,16.48,0.051,3.98
OGLE-TR-211 b,238.37,14.12,0.051,3.68
OGLE-TR-56 b,413.18,13.45,0.022,1.21
POTS-1 b,734.18,10.55,0.037,3.16
Qatar-10 b,233.92,17.30,0.029,1.65
Qatar-1 b,422.71,13.05,0.023,1.42
Qatar-2 b,790.44,12.82,0.021,1.34
Qatar-3 b,1369.84,12.29,0.038,2.51
Qatar-4 b,1859.30,17.40,0.029,1.81
Qatar-5 b,1373.02,12.41,0.041,2.88
Qatar-6 b,212.31,11.90,0.042,3.51
Qatar-7 b,597.52,19.06,0.035,2.03
Qatar-8 b,117.91,14.40,0.047,3.71
Qatar-9 b,378.22,11.31,0.023,1.54
SWEEPS-11,3082.94,12.67,0.030,1.80
TIC 237913194 b,617.22,12.52,0.121,15.17
TOI-1062 b,10.17,2.26,0.052,4.11
TOI-1064 b,13.51,2.59,0.062,6.44
TOI-1064 c,2.51,2.65,0.094,12.23
TOI-1075 b,4.13,1.72,0.012,0.60
TOI-1107 b,1064.73,14.57,0.056,4.08
TOI-1130 c,309.56,16.81,0.071,8.35
TOI-1201 b,6.28,2.41,0.029,2.49
TOI-122 b,8.80,2.72,0.039,5.08
TOI-1231 b,15.41,3.65,0.129,24.25
TOI-1235 b,6.91,1.74,0.038,3.44
TOI-1238 b,3.76,1.21,0.014,0.76
TOI-1238 c,8.32,2.11,0.037,3.29
TOI-1246 b,8.10,3.01,0.049,4.31
TOI-1246 c,8.80,2.51,0.061,5.90
TOI-1246 d,5.31,3.51,0.131,18.66
TOI-1246 e,14.81,3.78,0.211,37.92
TOI-1259 A b,140.16,11.46,0.041,3.48
TOI-125 b,9.50,2.72,0.052,4.65
TOI-125 c,6.63,2.76,0.081,9.15
TOI-125 d,13.60,2.93,0.137,19.98
TOI-1260 b,8.61,2.34,0.037,3.13
TOI-1260 c,11.84,2.82,0.066,7.49
TOI-1266 b,13.50,2.37,0.074,10.89
TOI-1266 c,2.20,1.56,0.106,18.80
